group,n_cells,n_nan_pseudotime,pseudotime_mean,pseudotime_median,pseudotime_min,pseudotime_max
CD4-C3-ANXA1,2599,0,0.1591175933237855,0.07867464478709696,0.0,0.9177847023275182
CD4-C4-IL7R,2737,0,0.3343670532271227,0.30120188304739004,0.03780788593130502,0.8406241700292321
CD4-C5-TCF7,5280,0,0.48494678372992145,0.47354193810089795,0.0,0.809978811986334
CD4-C6-CXCL13,733,0,0.6858041809430828,0.76355732055854,0.029818230313018,0.9604275920511339
CD4-C7-FOXP3,1879,0,0.8608509142418289,0.892574607252479,0.0,1.0
CD4/CD8-C1-CCR7,3418,0,0.06526647787711566,0.03935964323138247,0.0,0.870459603870548
