step,event,time_s,rss_gb,gpu_mem_gb
subset_sanitize,start,,3.3564376831054688,0.0
subset_sanitize,end,3.4068763256073,8.188396453857422,0.0
scgen_setup_anndata,start,,10.585796356201172,0.0
scgen_setup_anndata,end,0.021549701690673828,10.595436096191406,0.0
scgen_init,start,,10.595436096191406,0.0
scgen_init,end,0.009595870971679688,10.601661682128906,0.0
scgen_train,start,,10.601661682128906,0.0
scgen_train,end,196.68768620491028,11.077522277832031,0.00824117660522461
scgen_save_model,start,,11.077522277832031,0.00824117660522461
scgen_save_model,end,0.07328176498413086,11.089973449707031,0.00824117660522461
latent_mean,start,,11.089973449707031,0.00824117660522461
latent_mean,end,1.2109079360961914,11.162673950195312,0.01617574691772461
latent_label_batch_correction,start,,11.162673950195312,0.01617574691772461
latent_label_batch_correction,end,0.5310490131378174,11.213253021240234,0.01617574691772461
neighbors,start,,11.213253021240234,0.01617574691772461
neighbors,end,109.03214859962463,9.446956634521484,0.01617574691772461
umap,start,,9.446956634521484,0.01617574691772461
umap,end,289.85961842536926,9.466827392578125,0.01617574691772461
leiden,start,,9.466827392578125,0.01617574691772461
leiden,end,1413.9905517101288,11.201923370361328,0.01617574691772461
metrics,start,,11.201923370361328,0.01617574691772461
metrics,end,2693.2320070266724,12.866283416748047,0.01617574691772461
plots,start,,12.866283416748047,0.01617574691772461
plots,end,35.339940547943115,13.796432495117188,0.01617574691772461
