step,event,time_s,rss_gb,gpu_mem_gb
subset,start,,3.1710281372070312,
subset,end,3.0286552906036377,8.191543579101562,
write_h5ad,start,,10.545886993408203,
write_h5ad,end,6.1623313426971436,8.085750579833984,
prepare_hvgs,start,,8.085750579833984,
prepare_hvgs,end,0.0007293224334716797,8.085750579833984,
r_liger,start,,8.085750579833984,
r_liger,end,1995.42955160141,8.085750579833984,
load_embedding,start,,8.085750579833984,
load_embedding,end,1.6468303203582764,8.14923095703125,
neighbors,start,,8.14923095703125,
neighbors,end,94.15514945983887,8.729900360107422,
umap,start,,8.729900360107422,
umap,end,184.2312879562378,8.757972717285156,
leiden,start,,8.757972717285156,
leiden,end,670.3985702991486,10.779457092285156,
metrics,start,,10.779457092285156,
metrics,end,962.5368332862854,12.247444152832031,
plots,start,,12.247444152832031,
plots,end,31.573960781097412,12.250556945800781,
