cell_id,branch_label
637,monocyte-derived macrophage
640,TREM2+ macrophage
641,TREM2+ macrophage
643,VEGFA+ macrophage
644,VEGFA+ macrophage
648,VEGFA+ macrophage
649,VEGFA+ macrophage
652,monocyte-derived macrophage
654,VEGFA+ macrophage
661,monocyte-derived macrophage
662,VEGFA+ macrophage
664,VEGFA+ macrophage
666,monocyte-derived macrophage
667,VEGFA+ macrophage
669,monocyte-derived macrophage
670,MARCO+ macrophage
672,VEGFA+ macrophage
673,TREM2+ macrophage
675,monocyte-derived macrophage
677,VEGFA+ macrophage
678,VEGFA+ macrophage
679,VEGFA+ macrophage
681,VEGFA+ macrophage
686,TREM2+ macrophage
688,VEGFA+ macrophage
694,VEGFA+ macrophage
696,VEGFA+ macrophage
697,VEGFA+ macrophage
698,VEGFA+ macrophage
700,VEGFA+ macrophage
703,VEGFA+ macrophage
704,VEGFA+ macrophage
706,VEGFA+ macrophage
707,monocyte-derived macrophage
709,monocyte-derived macrophage
711,monocyte-derived macrophage
712,monocyte-derived macrophage
715,VEGFA+ macrophage
718,VEGFA+ macrophage
719,VEGFA+ macrophage
721,TREM2+ macrophage
722,VEGFA+ macrophage
725,VEGFA+ macrophage
727,patient-specific macrophage
731,VEGFA+ macrophage
735,VEGFA+ macrophage
740,TREM2+ macrophage
744,VEGFA+ macrophage
745,monocyte-derived macrophage
748,VEGFA+ macrophage
750,monocyte-derived macrophage
752,VEGFA+ macrophage
753,VEGFA+ macrophage
757,monocyte-derived macrophage
758,VEGFA+ macrophage
759,monocyte-derived macrophage
775,TREM2+ macrophage
776,VEGFA+ macrophage
778,VEGFA+ macrophage
779,VEGFA+ macrophage
781,VEGFA+ macrophage
782,TREM2+ macrophage
783,VEGFA+ macrophage
784,monocyte-derived macrophage
788,VEGFA+ macrophage
789,monocyte-derived macrophage
790,VEGFA+ macrophage
793,MARCO+ macrophage
795,VEGFA+ macrophage
797,TREM2+ macrophage
798,monocyte-derived macrophage
802,VEGFA+ macrophage
806,MARCO+ macrophage
807,monocyte-derived macrophage
809,MARCO+ macrophage
810,VEGFA+ macrophage
811,VEGFA+ macrophage
813,VEGFA+ macrophage
814,MARCO+ macrophage
816,VEGFA+ macrophage
817,VEGFA+ macrophage
818,VEGFA+ macrophage
820,TREM2+ macrophage
822,TREM2+ macrophage
828,VEGFA+ macrophage
829,VEGFA+ macrophage
831,monocyte-derived macrophage
833,VEGFA+ macrophage
836,VEGFA+ macrophage
839,VEGFA+ macrophage
842,VEGFA+ macrophage
843,VEGFA+ macrophage
844,TREM2+ macrophage
848,VEGFA+ macrophage
849,monocyte-derived macrophage
856,VEGFA+ macrophage
858,VEGFA+ macrophage
862,monocyte-derived macrophage
863,VEGFA+ macrophage
864,VEGFA+ macrophage
866,proliferative macrophage
867,VEGFA+ macrophage
872,VEGFA+ macrophage
873,MARCO+ macrophage
876,VEGFA+ macrophage
877,VEGFA+ macrophage
878,VEGFA+ macrophage
882,VEGFA+ macrophage
883,VEGFA+ macrophage
887,TREM2+ macrophage
889,monocyte-derived macrophage
891,TREM2+ macrophage
892,VEGFA+ macrophage
894,TREM2+ macrophage
896,VEGFA+ macrophage
900,TREM2+ macrophage
903,VEGFA+ macrophage
905,TREM2+ macrophage
907,VEGFA+ macrophage
908,VEGFA+ macrophage
909,TREM2+ macrophage
912,VEGFA+ macrophage
913,VEGFA+ macrophage
914,MARCO+ macrophage
915,VEGFA+ macrophage
918,monocyte-derived macrophage
920,VEGFA+ macrophage
921,monocyte-derived macrophage
926,VEGFA+ macrophage
929,monocyte-derived macrophage
931,VEGFA+ macrophage
939,monocyte-derived macrophage
944,monocyte-derived macrophage
945,VEGFA+ macrophage
946,TREM2+ macrophage
953,VEGFA+ macrophage
954,monocyte-derived macrophage
955,MMP9+ macrophage
957,VEGFA+ macrophage
959,VEGFA+ macrophage
962,monocyte-derived macrophage
963,MARCO+ macrophage
965,TREM2+ macrophage
966,VEGFA+ macrophage
967,VEGFA+ macrophage
979,VEGFA+ macrophage
982,MMP9+ macrophage
983,VEGFA+ macrophage
985,VEGFA+ macrophage
987,VEGFA+ macrophage
988,TREM2+ macrophage
989,VEGFA+ macrophage
990,VEGFA+ macrophage
993,VEGFA+ macrophage
994,VEGFA+ macrophage
995,TREM2+ macrophage
999,VEGFA+ macrophage
1005,VEGFA+ macrophage
1007,VEGFA+ macrophage
1008,VEGFA+ macrophage
1009,TREM2+ macrophage
1015,VEGFA+ macrophage
1016,monocyte-derived macrophage
1018,VEGFA+ macrophage
1019,VEGFA+ macrophage
1020,MMP9+ macrophage
1023,TREM2+ macrophage
1024,TREM2+ macrophage
1026,monocyte-derived macrophage
1027,VEGFA+ macrophage
1030,monocyte-derived macrophage
1032,monocyte-derived macrophage
1035,proliferative macrophage
1036,VEGFA+ macrophage
1038,VEGFA+ macrophage
1040,monocyte-derived macrophage
1044,VEGFA+ macrophage
1048,VEGFA+ macrophage
1050,VEGFA+ macrophage
1051,VEGFA+ macrophage
1052,TREM2+ macrophage
1053,VEGFA+ macrophage
1054,monocyte-derived macrophage
1056,VEGFA+ macrophage
1057,VEGFA+ macrophage
1058,VEGFA+ macrophage
1059,monocyte-derived macrophage
1060,TREM2+ macrophage
1061,monocyte-derived macrophage
1062,monocyte-derived macrophage
1065,VEGFA+ macrophage
1068,VEGFA+ macrophage
1069,VEGFA+ macrophage
1070,monocyte-derived macrophage
1074,VEGFA+ macrophage
1075,VEGFA+ macrophage
1077,VEGFA+ macrophage
1078,VEGFA+ macrophage
1082,VEGFA+ macrophage
1088,VEGFA+ macrophage
1093,TREM2+ macrophage
1094,VEGFA+ macrophage
1095,VEGFA+ macrophage
1097,VEGFA+ macrophage
1106,VEGFA+ macrophage
1114,MMP9+ macrophage
1116,VEGFA+ macrophage
1122,VEGFA+ macrophage
1127,VEGFA+ macrophage
1130,VEGFA+ macrophage
1131,TREM2+ macrophage
1135,VEGFA+ macrophage
1136,monocyte-derived macrophage
1138,monocyte-derived macrophage
1140,VEGFA+ macrophage
1141,VEGFA+ macrophage
1144,VEGFA+ macrophage
1147,VEGFA+ macrophage
1148,VEGFA+ macrophage
1149,VEGFA+ macrophage
1150,VEGFA+ macrophage
1151,VEGFA+ macrophage
1152,VEGFA+ macrophage
1153,monocyte-derived macrophage
1155,VEGFA+ macrophage
1158,monocyte-derived macrophage
1159,VEGFA+ macrophage
1160,VEGFA+ macrophage
1162,TREM2+ macrophage
1163,proliferative macrophage
1169,VEGFA+ macrophage
1170,VEGFA+ macrophage
1180,TREM2+ macrophage
1182,monocyte-derived macrophage
1186,VEGFA+ macrophage
1187,VEGFA+ macrophage
1189,monocyte-derived macrophage
1193,VEGFA+ macrophage
1194,VEGFA+ macrophage
1195,VEGFA+ macrophage
1197,TREM2+ macrophage
1203,VEGFA+ macrophage
1207,TREM2+ macrophage
1208,VEGFA+ macrophage
1211,monocyte-derived macrophage
1214,VEGFA+ macrophage
1220,VEGFA+ macrophage
1224,VEGFA+ macrophage
1225,VEGFA+ macrophage
1227,monocyte-derived macrophage
1229,monocyte-derived macrophage
1232,VEGFA+ macrophage
1234,VEGFA+ macrophage
1237,MARCO+ macrophage
1238,VEGFA+ macrophage
1239,MARCO+ macrophage
1245,monocyte-derived macrophage
1246,VEGFA+ macrophage
1247,VEGFA+ macrophage
1249,VEGFA+ macrophage
1252,VEGFA+ macrophage
1253,monocyte-derived macrophage
1255,TREM2+ macrophage
1257,monocyte-derived macrophage
1260,TREM2+ macrophage
1263,VEGFA+ macrophage
1264,TREM2+ macrophage
1266,monocyte-derived macrophage
1267,VEGFA+ macrophage
1269,VEGFA+ macrophage
1270,VEGFA+ macrophage
1273,VEGFA+ macrophage
1275,monocyte-derived macrophage
1276,VEGFA+ macrophage
1278,TREM2+ macrophage
1279,monocyte-derived macrophage
1281,VEGFA+ macrophage
1284,VEGFA+ macrophage
1285,monocyte-derived macrophage
1286,MARCO+ macrophage
1288,VEGFA+ macrophage
1289,monocyte-derived macrophage
1292,monocyte-derived macrophage
1293,VEGFA+ macrophage
1294,monocyte-derived macrophage
1296,VEGFA+ macrophage
1297,VEGFA+ macrophage
1299,VEGFA+ macrophage
1301,VEGFA+ macrophage
1305,VEGFA+ macrophage
1306,VEGFA+ macrophage
1309,VEGFA+ macrophage
1314,VEGFA+ macrophage
1318,TREM2+ macrophage
1319,VEGFA+ macrophage
1320,VEGFA+ macrophage
1324,monocyte-derived macrophage
1332,TREM2+ macrophage
1340,monocyte-derived macrophage
1342,VEGFA+ macrophage
1344,VEGFA+ macrophage
1346,VEGFA+ macrophage
1347,monocyte-derived macrophage
1351,VEGFA+ macrophage
1352,VEGFA+ macrophage
1355,VEGFA+ macrophage
1356,VEGFA+ macrophage
1358,VEGFA+ macrophage
1361,VEGFA+ macrophage
1364,monocyte-derived macrophage
1367,VEGFA+ macrophage
1370,VEGFA+ macrophage
1374,VEGFA+ macrophage
1375,VEGFA+ macrophage
1378,VEGFA+ macrophage
1379,TREM2+ macrophage
1380,VEGFA+ macrophage
1381,VEGFA+ macrophage
1382,VEGFA+ macrophage
1383,VEGFA+ macrophage
1384,TREM2+ macrophage
1387,monocyte-derived macrophage
1390,TREM2+ macrophage
1392,monocyte-derived macrophage
1394,TREM2+ macrophage
1396,monocyte-derived macrophage
1399,VEGFA+ macrophage
1400,TREM2+ macrophage
1405,VEGFA+ macrophage
1407,VEGFA+ macrophage
1408,VEGFA+ macrophage
1412,VEGFA+ macrophage
1413,monocyte-derived macrophage
1418,VEGFA+ macrophage
1419,TREM2+ macrophage
1421,TREM2+ macrophage
1422,monocyte-derived macrophage
1425,VEGFA+ macrophage
1426,VEGFA+ macrophage
1428,VEGFA+ macrophage
1431,VEGFA+ macrophage
1432,VEGFA+ macrophage
1433,VEGFA+ macrophage
1434,VEGFA+ macrophage
1438,TREM2+ macrophage
1440,VEGFA+ macrophage
1443,VEGFA+ macrophage
1445,TREM2+ macrophage
1447,monocyte-derived macrophage
1450,monocyte-derived macrophage
1455,VEGFA+ macrophage
1456,VEGFA+ macrophage
1458,VEGFA+ macrophage
1465,VEGFA+ macrophage
1466,VEGFA+ macrophage
1469,VEGFA+ macrophage
