group,n_cells,n_nan_pseudotime,pseudotime_mean,pseudotime_median,pseudotime_min,pseudotime_max
Mono-C1-CD14,275,0,0.02935940121993447,0.019044828596542662,0.001025490770583115,0.1454731907412834
Mono-C2-FCGR3A,730,0,0.07006189067586062,0.06533841195429235,0.003369469674772918,0.22209200117198935
Mφ-C1-THBS1,1225,0,0.06225894987353276,0.05610899501904476,0.0026369762672135977,0.2953413419279227
Mφ-C2-C1QA,1959,0,0.22285171536570006,0.19162027541752125,0.00351596835628476,1.0
Mφ-C3-APOE,63,0,0.07054957933950023,0.04570758863170232,0.00835042484617643,0.5290067389393496
Mφ-C5-VCAN,1231,0,0.03925902847215561,0.03384119542924113,0.0,0.1596835628479344
Mφ-C6-MARCO,1536,0,0.078566022072468,0.06358042777615003,0.012159390565484873,0.446381482566657
