group,n_cells,n_nan_pseudotime,pseudotime_mean,pseudotime_median,pseudotime_min,pseudotime_max
central memory T,1037,0,15.869810680971867,15.500193151494,3.63018613333125,55.2505683258747
cytotoxic T lymphocytes,3703,0,20.13935461297531,21.1995042492779,0.0,54.2176893190727
effector memory T,2001,0,20.934657804530328,21.887183901482,1.00713216931861,54.607693352197
intermediate T,2016,0,18.366199629934904,19.95204254734175,1.13101680411741,56.9855168984613
naïve T,1616,0,14.169556340008375,15.0015497857814,3.81320005403593,45.5526406326919
proliferative CD4 T,971,0,28.778636586158715,29.2365525255167,1.23184904068618,53.9788480754356
proliferative CD8 T,128,0,31.074843172146426,30.8148429023963,6.24358273687369,50.8495555036219
regulatory T,2078,0,22.329415445874762,23.9896790359683,3.45410836739714,53.8470563716259
tissue-resident memory T,1878,0,23.353189942579053,23.58811113842055,1.24991313973732,52.8248358570339
