group,n_cells,n_nan_pseudotime,pseudotime_mean,pseudotime_median,pseudotime_min,pseudotime_max
MARCO+ macrophage,2425,0,0.8930149896318746,0.9395113328340738,0.39093357614104746,1.0
MMP9+ macrophage,1435,0,0.7634393283560548,0.7324514024574605,0.020816799787658966,1.0
TREM2+ macrophage,2170,0,0.6668233348799507,0.6487203371366731,0.030634079672899557,0.9637465422664526
VEGFA+ macrophage,1535,0,0.6767905737546682,0.6961603828103319,0.02386095709669922,1.0
monocyte-derived macrophage,3137,0,0.6103166147729184,0.6811324645634241,0.0,1.0
patient-specific macrophage,2496,0,0.7560970907506991,0.7802415285388137,0.0,0.9637465422664526
proliferative macrophage,298,0,0.6809411292983638,0.6811324645634241,0.015795133861297737,1.0
