step,event,time_s,rss_gb,gpu_mem_gb
subset_sanitize,start,,3.3634872436523438,0.0
subset_sanitize,end,1.4584522247314453,5.915782928466797,0.0
setup_anndata,start,,5.915782928466797,0.0
setup_anndata,end,0.03358769416809082,5.916149139404297,0.0
train,start,,5.916149139404297,0.0
train,end,644.5128486156464,6.348293304443359,0.009793281555175781
save_model,start,,6.348293304443359,0.009793281555175781
save_model,end,0.09391975402832031,6.355617523193359,0.009793281555175781
latent,start,,6.355617523193359,0.009793281555175781
latent,end,6.041301488876343,6.415676116943359,0.01772785186767578
neighbors,start,,6.415676116943359,0.01772785186767578
neighbors,end,97.12434911727905,7.241039276123047,0.01772785186767578
umap,start,,7.241039276123047,0.01772785186767578
umap,end,257.0307230949402,7.242115020751953,0.01772785186767578
leiden,start,,7.242115020751953,0.01772785186767578
leiden,end,830.5933349132538,9.358428955078125,0.01772785186767578
metrics,start,,9.358428955078125,0.01772785186767578
metrics,end,1408.4145357608795,9.550308227539062,0.01772785186767578
plots,start,,9.524093627929688,0.01772785186767578
plots,end,18.374571800231934,10.455162048339844,0.01772785186767578
