source,target,weight,directed
NK-C2-SELL,NK-C1-FCGR3A,1.0,False
NK-C1-FCGR3A,NK-C5-CD69,1.0,False
NK-C5-CD69,NK-C3-IFNG,1.0,False
NK-C3-IFNG,NK-C7-CD160,1.0,False
