,mean_tie_fraction
CellRank,0.8596727571828978
ElPiGraph,0.4887444894521637
Monocle3,1.234933807547911e-05
PAGA + DPT,0.0008361174335591581
SCORPIUS,0.26763175898549996
Slingshot,0.1113394384865795
TSCAN,0.401269684513567
VIA,0.9718074766985626
