Method,Marker concordance,Marker monotonicity,kNN smoothness,Root purity,Topology consistency
CellRank,0.0730785084860756,0.09037367815351477,0.012055505753803738,0.21147099310425319,0.20723386948846442
ElPiGraph,0.07117682469197464,0.028244829554969198,0.007350785777133221,0.2257372326194465,0.17587666647416433
Monocle3,0.06833444793762287,0.022733001109599665,0.009058984402880041,0.25804393880851656,0.2909827024659447
PAGA + DPT,0.11152730624356148,0.037521791855459785,0.0045576327473530074,0.2586524442842193,0.25798216934055124
SCORPIUS,0.1564880662303184,0.02460979282958151,0.007392238372409241,0.3132225343379012,0.24236955484115316
Slingshot,0.1517287864468395,0.05324941640043949,0.004018452409994092,0.34098368377733046,0.2030642061184107
TSCAN,0.153681463356678,0.022067852000785343,0.010150588764665435,0.29703379712505973,0.06345435388099882
VIA,0.06731029703629214,0.013793792614928852,0.008709747491086007,0.19447195708594203,0.21771952042219836
