cell_type_raw	major_celltype_l1	n_cells
B cells	B cells	2444
CAFs	CAFs	1674
Hepatocytes	Hepatocyte	1242
Malignant cells	Malignant	13883
Plasma cells	Plasma cells	609
T cells	T cells	20160
TAMs	TAMs	5247
TECs	TECs	2952
