group,n_cells,n_nan_pseudotime,pseudotime_mean,pseudotime_median,pseudotime_min,pseudotime_max
MARCO+ macrophage,2425,0,27.989775890268366,29.2558105891378,20.5503859809857,29.2558105891378
MMP9+ macrophage,1435,0,14.341646109102907,15.4323959052734,7.59292215395917,15.4323959052734
TREM2+ macrophage,2170,0,15.733099585259907,15.982114041075949,7.59292215395917,20.9349229895358
VEGFA+ macrophage,1535,0,19.478905404581667,20.9349229895358,15.0160763378572,20.9349229895358
monocyte-derived macrophage,3137,0,1.158824010231058,0.101868627277529,0.0,7.59292215395917
patient-specific macrophage,2496,0,20.877728074155236,20.5503859809857,15.0160763378572,29.2558105891378
proliferative macrophage,298,0,9.148695879980014,8.93411675601307,0.0,15.4323959052734
