group,n_cells,n_nan_pseudotime,pseudotime_mean,pseudotime_median,pseudotime_min,pseudotime_max
central memory T,1037,0,0.33515285263040673,0.43468072266246904,0.0,1.0
cytotoxic T lymphocytes,3703,0,0.3174953478754678,0.304114318764942,0.0046037592384300385,1.0
effector memory T,2001,0,0.29803945658825376,0.29221253505355405,0.0,1.0
intermediate T,2016,0,0.3406268507037745,0.331102807451874,0.0,1.0
naïve T,1616,0,0.29596311839975636,0.37097455507548105,0.041305828458212956,0.9344586744329492
proliferative CD4 T,971,0,0.5126233864644011,0.59593619230611,0.0,1.0
proliferative CD8 T,128,0,0.6399944312082387,0.635326304538649,0.13764745184995297,1.0
regulatory T,2078,0,0.348819281932401,0.4898704827267115,0.0,1.0
tissue-resident memory T,1878,0,0.38372707359030894,0.37909710177977946,0.0,1.0
