group,n_cells,n_nan_pseudotime,pseudotime_mean,pseudotime_median,pseudotime_min,pseudotime_max
central memory T,1037,0,3.239600378271785,3.48603694040607,0.0,10.4410317627863
cytotoxic T lymphocytes,3703,0,7.362541527542077,7.51261497904231,4.77058475975741,11.1644118191737
effector memory T,2001,0,10.222943916665603,11.1644118191737,7.51261497904231,11.1644118191737
intermediate T,2016,0,5.357512406948955,5.3272576808338155,0.0,10.0406556679167
naïve T,1616,0,1.2122594417259271,0.6140428816979155,0.0,4.77058475975741
proliferative CD4 T,971,0,19.643185603083825,20.0731140677205,11.083992534748,27.2998077549169
proliferative CD8 T,128,0,26.628854802389196,27.2998077549169,20.0731140677205,27.2998077549169
regulatory T,2078,0,9.635093256250586,10.4410317627863,3.48603694040607,20.0731140677205
tissue-resident memory T,1878,0,8.914097951161533,10.0406556679167,4.77058475975741,10.0406556679167
