replicate_index,seed,status,n_cells,root_cell_id,error_msg
0,0,ok,12346,16569,
1,1,ok,12346,16569,
2,2,ok,12346,16569,
3,3,ok,12346,16569,
4,4,ok,12346,16569,
5,5,ok,12346,22029,
6,6,ok,12346,16569,
7,7,ok,12346,16569,
8,8,ok,12346,16569,
9,9,ok,12346,16569,
10,10,ok,12346,16569,
11,11,ok,12346,16569,
12,12,ok,12346,22029,
13,13,ok,12346,14277,
14,14,ok,12346,16569,
15,15,ok,12346,16569,
16,16,ok,12346,16569,
17,17,ok,12346,16569,
18,18,ok,12346,16569,
19,19,ok,12346,16569,
