group,n_cells,n_nan_pseudotime,pseudotime_mean,pseudotime_median,pseudotime_min,pseudotime_max
central memory T,1037,0,0.17697967026335984,0.0979934111237526,0.004278028383851051,0.7504163980484009
cytotoxic T lymphocytes,3703,0,0.1022885382196069,0.038838233798742294,0.008837403729557991,1.0
effector memory T,2001,0,0.1047957200572818,0.037098053842782974,0.005262570455670357,0.8672930002212524
intermediate T,2016,0,0.08778649889716199,0.03466717340052128,0.002925680484622717,0.965832531452179
naïve T,1616,0,0.1517055865024484,0.031766101717948914,0.0,0.7356929779052734
proliferative CD4 T,971,0,0.20699494527883053,0.14584483206272125,0.006337405648082495,0.8858202695846558
proliferative CD8 T,128,0,0.2399664236145327,0.23415932059288025,0.0276168305426836,0.6113852262496948
regulatory T,2078,0,0.23107711067797457,0.2105713114142418,0.0028810680378228426,0.8894376754760742
tissue-resident memory T,1878,0,0.07675696283673591,0.03223336674273014,0.0025883230846375227,0.9416677951812744
