group,n_cells,n_nan_pseudotime,pseudotime_mean,pseudotime_median,pseudotime_min,pseudotime_max
Mono-C1-CD14,275,0,2.2007120312027553,0.89628643427724,0.0042723354433755,11.4486744153544
Mono-C2-FCGR3A,730,0,5.4122463918543975,5.961456445141176,0.317486581417192,9.38847088239139
Mφ-C1-THBS1,1225,0,5.224682643191402,5.56258842611116,0.667642535809228,9.42541664859476
Mφ-C2-C1QA,1959,0,8.649196002769115,9.38865205709664,1.52300583283253,9.42546697490177
Mφ-C3-APOE,63,0,8.70971160412115,9.38848238554728,1.99755903296202,9.42540514543887
Mφ-C5-VCAN,1231,0,8.711344369183223,11.4476966471038,0.0,12.2555670765383
Mφ-C6-MARCO,1536,0,7.864021719322867,8.070321228987964,1.1733459962306,12.2159254444201
