step,event,time_s,rss_gb,gpu_mem_gb
subset_sanitize,start,,2.874298095703125,0.0
subset_sanitize,end,0.13614153861999512,2.877227783203125,0.0
scgen_setup_anndata,start,,2.877227783203125,0.0
scgen_setup_anndata,end,0.002330780029296875,2.877227783203125,0.0
scgen_init,start,,2.877227783203125,0.0
scgen_init,end,0.2402486801147461,2.879425048828125,0.0
scgen_train,start,,2.879425048828125,0.0
scgen_train,end,50.48106288909912,3.036693572998047,0.00824117660522461
scgen_save_model,start,,3.036693572998047,0.00824117660522461
scgen_save_model,end,0.0751044750213623,3.036693572998047,0.00824117660522461
latent_mean,start,,3.036693572998047,0.00824117660522461
latent_mean,end,0.07891368865966797,3.037059783935547,0.01617574691772461
latent_label_batch_correction,start,,3.037059783935547,0.01617574691772461
latent_label_batch_correction,end,0.027296781539916992,3.039257049560547,0.01617574691772461
neighbors,start,,3.039257049560547,0.01617574691772461
neighbors,end,4.084866285324097,3.046405792236328,0.01617574691772461
umap,start,,3.046405792236328,0.01617574691772461
umap,end,10.382660388946533,3.046405792236328,0.01617574691772461
leiden,start,,3.046405792236328,0.01617574691772461
leiden,end,11.396660566329956,3.049755096435547,0.01617574691772461
metrics,start,,3.049755096435547,0.01617574691772461
metrics,end,265.5827353000641,3.8863906860351562,0.01617574691772461
plots,start,,3.8863906860351562,0.01617574691772461
plots,end,10.01982569694519,3.8868064880371094,0.01617574691772461
