replicate_index,seed,status,n_cells,root_cell_id,error_msg
0,0,ok,10798,59685,
1,1,ok,10798,71175,
2,2,ok,10798,13027,
3,3,ok,10798,13027,
4,4,ok,10798,59685,
5,5,ok,10798,71175,
6,6,ok,10798,13027,
7,7,ok,10798,71175,
8,8,ok,10798,13027,
9,9,ok,10798,71175,
10,10,ok,10798,13027,
11,11,ok,10798,71175,
12,12,ok,10798,13027,
13,13,ok,10798,13027,
14,14,ok,10798,71175,
15,15,ok,10798,71175,
16,16,ok,10798,59685,
17,17,ok,10798,71175,
18,18,ok,10798,71175,
19,19,ok,10798,71175,
