group,n_cells,n_nan_pseudotime,pseudotime_mean,pseudotime_median,pseudotime_min,pseudotime_max
MARCO+ macrophage,2425,0,43.20239585933193,45.7894012016262,10.177151546307,49.8192743955795
MMP9+ macrophage,1435,0,23.559605747527442,20.3944189904524,9.8502203516678,46.6996997946315
TREM2+ macrophage,2170,0,32.133008249769134,33.087115371639555,8.91942248976682,48.2565191574737
VEGFA+ macrophage,1535,0,29.961264397594597,29.3584983836169,9.4986683209338,45.7128363465943
monocyte-derived macrophage,3137,0,16.153762919509614,14.4224279175732,0.0,46.5239427617899
patient-specific macrophage,2496,0,33.3025828226356,33.73356298360015,6.79233745563302,47.7674652270218
proliferative macrophage,298,0,32.11799457076123,33.93572104615305,9.99743757108452,48.8183938845098
