Method,Marker concordance,Marker monotonicity,kNN smoothness,Root purity,Topology consistency
CellRank,0.6493429852358285,0.7368421052631579,0.9648619059367908,0.19680851063829788,0.6666666666666669
ElPiGraph,0.5842578631500209,0.5986842105263159,0.9713097934859393,0.24778761061946902,0.7092081432669752
Monocle3,0.5629583429131518,0.5394736842105263,0.9649838027572684,0.28667563930013457,0.47905050476530353
PAGA,0.5826287822885982,0.625,0.9957980653617767,0.3082099596231494,0.261904761904762
SCORPIUS,0.6823035903370899,0.5763888888888888,0.9787333907961523,0.0,0.7711403083390079
Slingshot,0.5999360040646498,0.5921052631578948,0.9821678411080152,0.3135935397039031,0.4523809523809524
TSCAN,0.6619618045774729,0.6171875,0.9787151549658897,0.3472409152086137,0.7857142857142858
VIA,0.6120123444181531,0.5735294117647058,0.9788892217729476,0.27496757457846954,0.07142857142857144
