Method,Marker concordance,Marker monotonicity,kNN smoothness,Root purity,Topology consistency
CellRank,0.6476331974006622,0.7894736842105262,0.975887087716672,0.39811542991755006,0.40583972495671394
ElPiGraph,0.5540380532925193,0.5526315789473685,0.9601081480475743,0.5780010576414596,0.985184366143778
Monocle3,0.552280626169118,0.587719298245614,0.9700075955988525,0.8047761194029851,0.4638168285219587
PAGA,0.5400736813102317,0.6403508771929826,0.9860857098856949,0.8686567164179104,0.8285714285714287
SCORPIUS,0.5999819668816846,0.6296296296296298,0.9691253769899792,0.0005970149253731343,0.44136741475237473
Slingshot,0.5574574792409925,0.5701754385964912,0.9788598505628961,0.8328358208955224,0.942857142857143
TSCAN,0.5545475298609815,0.6666666666666666,0.9516821766379637,0.9140298507462686,0.8857142857142858
VIA,0.5334910959338938,0.5888888888888889,0.9699026767675831,0.6382618510158014,0.5428571428571429
