group,n_cells,n_nan_pseudotime,pseudotime_mean,pseudotime_median,pseudotime_min,pseudotime_max
NK-C1-FCGR3A,2078,0,0.20595649231781255,0.18977591036414565,0.01680672268907568,0.8795518207282914
NK-C2-SELL,279,0,0.19727066453821668,0.19537815126050428,0.02030812324929976,0.6141456582633054
NK-C3-IFNG,602,0,0.16921187079482955,0.1568627450980391,0.009803921568627416,0.7948179271708685
NK-C5-CD69,1892,0,0.16032787322117006,0.14495798319327735,0.0,0.807422969187675
NK-C7-CD160,2352,0,0.17713722393719392,0.15791316526610638,0.008403361344537785,1.0
