group,n_cells,n_nan_pseudotime,pseudotime_mean,pseudotime_median,pseudotime_min,pseudotime_max
NK-C1-FCGR3A,2078,0,0.6835891075962949,0.7137893736362457,0.10392218828201294,0.8401313424110413
NK-C2-SELL,279,0,0.2268381538570568,0.1270950585603714,0.0,0.746039628982544
NK-C3-IFNG,602,0,0.6490175600265744,0.6435981690883636,0.5413833856582642,0.7851369976997375
NK-C5-CD69,1892,0,0.6702417130119327,0.6701649129390717,0.13747398555278778,0.9993204474449158
NK-C7-CD160,2352,0,0.7470740582825629,0.7973051369190216,0.10162965208292007,1.0
