step,event,time_s,rss_gb,gpu_mem_gb
subset_sanitize,start,,5.704219818115234,0.0079345703125
subset_sanitize,end,0.09754610061645508,5.704219818115234,0.0079345703125
setup_anndata,start,,5.704219818115234,0.0079345703125
setup_anndata,end,0.01415705680847168,5.704219818115234,0.0079345703125
train,start,,5.704219818115234,0.0079345703125
train,end,290.27019238471985,5.705425262451172,0.010345458984375
latent,start,,5.705425262451172,0.010345458984375
latent,end,0.43039727210998535,5.705425262451172,0.018280029296875
neighbors,start,,5.705425262451172,0.018280029296875
neighbors,end,4.691859006881714,5.708465576171875,0.018280029296875
umap,start,,5.708465576171875,0.018280029296875
umap,end,11.261232376098633,5.708465576171875,0.018280029296875
leiden,start,,5.708465576171875,0.018280029296875
leiden,end,18.508835554122925,5.710124969482422,0.018280029296875
metrics,start,,5.710124969482422,0.018280029296875
metrics,end,177.59514617919922,5.750701904296875,0.018280029296875
plots,start,,5.750701904296875,0.018280029296875
plots,end,8.859671115875244,5.750701904296875,0.018280029296875
