TPSAB1
HLA-DRA
ALB
FTL
CD74
APOA2
CCL5
IGLL5
CCL4
C1QB
GNLY
S100A8
C1QA
DHX33
CXCR4
APOE
CTSG
CPA3
C1QC
IGFBP7
S100A4
HLA-DRB1
TYROBP
LYZ
TAGLN
KLRB1
APOC3
SPARCL1
PRR19
GRIN3A
SPP1
MGP
FCN3
ABCC4
HBG2
HLA-DPB1
NKG7
CYP2E1
ACTA2
S100A9
APOC1
DCN
ORM1
PTGDS
HBA1
TMSB4X
FHDC1
SPINK1
COL3A1
AMBP
COL1A1
FABP4
CXCL13
JUNB
VTN
SERPINA1
CCL21
RPS2
MZB1
HBA2
GZMB
IL32
IL20RB
CXCL10
HLA-DPA1
C4A
CD52
IL1B
FGFBP2
HAMP
SRGN
COL1A2
SPARC
C6ORF52
KL
CST3
DNASE1L3
IGFBP5
REG1A
FOS
MARCO
FCER1G
TTR
LTB
MT2A
TFF2
HP
RBP4
MT1H
LUM
TF
CCL19
CRHBP
NTS
TFF1
AIF1
HBB
GZMA
FCN1
BGN
S100A12
IFNG
S100A6
CCL20
LYPD2
CCL2
CRP
PLVAP
CCL3L3
CCL17
CYB5R2
LGALS1
GZMK
VIM
SAA1
MYH11
CST1
TCL1A
MTRNR2L8
CLDN5
OIT3
CXCL9
FABP1
IFI27
XCL1
RAMP2
MFAP4
FGG
KRT7
CXCL14
FTH1
NFKBIA
IQCD
CLEC4G
IFITM3
MT1G
FCN2
CD79A
JUN
POSTN
HLA-DQA1
G0S2
TIMP1
FGB
MS4A1
MS4A6A
AHSG
PLA2G2A
RGS1
XCL2
SAT1
APOA1
VWF
CEACAM6
CCDC148
RNASE1
KRT19
GZMH
CCL8
HSPB1
FCER1A
CD69
RPL13
KLRC1
HBD
HSPA1A
B2M
NDUFA4L2
IL7R
HLA-DRB5
CLEC4M
METTL1
ALDOB
BTG1
KCTD14
STC1
AGR2
NAALAD2
APOH
KLRD1
CYP3A4
SFN
CHADL
MYL9
CCL18
CXCL3
ASPN
ACTG2
S100B
ZFP36
VCAN
ESM1
CLU
CA1
G6PC
COLEC11
IGLL1
C7
TFF3
CD163
SMARCA4
CLEC14A
HLA-DQB1
SFRP4
CXCL11
HPD
KLRF1
DEFB1
AREG
DPT
TM4SF4
FGA
LCN2
EREG
IGFBP3
TFPI2
TPM2
DGKB
GNG11
MMP7
CD3D
ADIRF
FCGR3A
HIGD1B
PTPRR
SEC14L4
HSPA1B
RARRES2
SLC7A9
KAZALD1
CXCL12
GPR183
CD14
C1ORF109
COL4A1
HBM
TRAPPC13
TM4SF1
SERPINC1
CARD10
LYVE1
ORM2
SELE
ADH1B
CXCL1
PPME1
LST1
TRAPPC1
GPR39
MT1E
SERPINB2
S100A11
CD2
GARNL3
CXCL6
POC1A
COL6A3
ATP2B2
DUSP2
DYNC1I1
CD7
GINS3
CD8A
MROH2A
CD8B
IL1RL1
NRCAM
RERGL
HRCT1
TACSTD2
CST7
TMCC2
CCL14
CLDN10
AKAP12
COLEC10
FGL1
FRZB
TRIM7
APOD
COL21A1
AKR1B10
RAMP3
CTGF
MMP17
IDO1
STAB2
CRYAB
CD160
KNG1
AGXT
GPX1
CCR7
FOLR2
HCST
