group,n_cells,n_nan_pseudotime,pseudotime_mean,pseudotime_median,pseudotime_min,pseudotime_max
Mono-C1-CD14,275,0,0.26320426968349653,0.24732063710689545,0.0,0.8813162446022034
Mono-C2-FCGR3A,730,0,0.5700426781830722,0.5464548766613007,0.32909518480300903,0.8557531237602234
Mφ-C1-THBS1,1225,0,0.41840771952453926,0.4124673902988434,0.1199711263179779,0.6665524244308472
Mφ-C2-C1QA,1959,0,0.5680998469445704,0.5675836205482483,0.329933762550354,0.9901871681213379
Mφ-C3-APOE,63,0,0.48574491909572054,0.46636974811553955,0.2774296998977661,0.911480724811554
Mφ-C5-VCAN,1231,0,0.741111064900188,0.823675811290741,0.10548651218414307,0.9726607799530029
Mφ-C6-MARCO,1536,0,0.7975079656850236,0.8407564461231232,0.32225537300109863,1.0
