group,n_cells,n_nan_pseudotime,pseudotime_mean,pseudotime_median,pseudotime_min,pseudotime_max
MARCO+ macrophage,2425,0,0.14921853611188143,0.1395818144083023,0.00850770715624094,0.8446983098983765
MMP9+ macrophage,1435,0,0.09855189315377627,0.07538636028766632,0.005376237444579601,0.9775499105453491
TREM2+ macrophage,2170,0,0.22714491791181987,0.07201571017503738,0.01190927904099226,0.9928835034370422
VEGFA+ macrophage,1535,0,0.12108370277375372,0.12877602875232697,0.00964440405368805,1.0
monocyte-derived macrophage,3137,0,0.05777068304648794,0.03871553763747215,0.0,0.9570682048797607
patient-specific macrophage,2496,0,0.1784599347566911,0.1491893157362938,0.010139111429452896,0.9741654992103577
proliferative macrophage,298,0,0.09179264262331112,0.03347966447472572,0.007822107523679733,0.9058718085289001
